night,eff,eff_poor,tst,waso,waso_poor,sol,rem_pct,n3_pct,restorative_pct,tib,deep,rem,bedtime,waketime,nap_min,steps,kcal,eff_lag1,bedtime_lag1,bedtime_sd7,weekend
2026-02-19,75.0,1.0,557.0,133.0,1.0,37.5,27.82764811490126,29.084380610412925,56.91202872531418,740.0,162.0,155.0,-6.766666666666666,5.366666666666666,0.0,7461,1778,81.0,-0.43333333333333357,0.8227100654859204,0
2026-02-20,82.0,1.0,480.0,35.0,0.0,35.0,36.458333333333336,32.291666666666664,68.75,582.5,155.0,175.0,-6.433333333333334,2.7333333333333334,0.0,5347,1654,75.0,-6.766666666666666,2.6388629906832746,1
2026-02-21,81.0,1.0,467.0,73.0,1.0,32.5,30.406852248394003,31.049250535331907,61.45610278372591,575.0,145.0,142.0,-5.216666666666665,4.316666666666666,0.0,8492,1854,82.0,-6.433333333333334,3.227348822684095,1
2026-02-22,86.0,0.0,383.0,45.0,1.0,12.5,17.754569190600524,30.026109660574413,47.78067885117493,445.0,115.0,68.0,-5.116666666666667,2.216666666666667,0.0,9071,1754,81.0,-5.216666666666665,3.202291259734083,0
2026-02-25,93.0,0.0,453.0,17.0,0.0,12.5,18.763796909492275,24.282560706401767,43.04635761589404,485.0,110.0,85.0,-1.5,6.55,0.0,8720,1689,83.0,-2.9499999999999993,2.3961871719385672,0
2026-02-26,88.0,0.0,707.0,78.0,1.0,7.5,7.779349363507779,22.913719943422915,30.693069306930692,800.0,162.0,55.0,-3.4499999999999993,9.75,0.0,4955,1587,93.0,-1.5,2.0499164391280424,0
2026-02-27,74.0,1.0,277.0,68.0,1.0,17.5,29.6028880866426,30.685920577617328,60.288808664259925,372.5,85.0,82.0,1.7666666666666666,7.816666666666666,0.0,4591,1627,88.0,-3.4499999999999993,1.801624781093954,1
2026-02-28,85.0,0.0,553.0,77.0,1.0,17.5,40.6871609403255,23.146473779385172,63.833634719710666,652.5,128.0,225.0,-1.2333333333333343,9.566666666666666,163.0,2901,1581,74.0,1.7666666666666666,2.614503706180125,1
2026-03-01,93.0,0.0,480.0,10.0,0.0,22.5,21.875,18.75,40.625,517.5,90.0,105.0,-2.9333333333333336,5.6,0.0,5359,1621,85.0,-1.2333333333333343,2.3539427130447073,0
2026-03-02,90.0,0.0,622.0,51.0,1.0,5.0,25.723472668810288,21.221864951768488,46.945337620578776,687.5,132.0,160.0,-3.6499999999999986,7.65,0.0,1579,1542,93.0,-2.9333333333333336,1.9193748982416072,0
2026-03-03,91.0,0.0,312.0,13.0,0.0,15.0,11.217948717948717,17.628205128205128,28.846153846153847,342.5,55.0,35.0,-0.18333333333333357,5.483333333333333,0.0,9520,1779,90.0,-3.6499999999999986,1.8984120348249578,0
2026-03-04,87.0,0.0,605.0,70.0,1.0,15.0,28.09917355371901,28.925619834710744,57.02479338842975,692.5333333333333,175.0,170.0,-2.966666666666665,8.533333333333333,0.0,8048,1719,91.0,-0.18333333333333357,1.9531415475489449,0
2026-03-05,87.0,0.0,642.0,68.0,1.0,25.0,30.8411214953271,22.118380062305295,52.9595015576324,737.5333333333333,142.0,198.0,-3.0500000000000007,9.2,0.0,8769,1710,87.0,-2.966666666666665,2.0184991018919494,0
2026-03-06,91.0,0.0,703.0,42.0,1.0,10.0,24.182076813655762,23.470839260312946,47.652916073968704,772.5,165.0,170.0,-3.333333333333332,9.25,0.0,8645,1727,87.0,-3.0500000000000007,1.9693014365881447,1
2026-03-07,84.0,1.0,562.0,93.0,1.0,5.0,24.02135231316726,20.462633451957295,44.48398576512456,667.5,115.0,135.0,-2.1999999999999993,8.8,0.0,6804,1714,91.0,-3.333333333333332,1.2710346574854219,1
2026-03-08,84.0,1.0,418.0,22.0,0.0,57.5,20.33492822966507,23.444976076555022,43.7799043062201,500.0,98.0,85.0,-2.616666666666667,5.666666666666667,0.0,8541,1753,84.0,-2.1999999999999993,1.1609383178178596,0
2026-03-09,89.0,0.0,332.0,3.0,0.0,35.0,31.626506024096386,22.59036144578313,54.21686746987952,372.5,75.0,105.0,-0.41666666666666785,5.75,143.0,6994,1659,84.0,-2.616666666666667,1.1526826313765781,0
2026-03-10,85.0,0.0,548.0,72.0,1.0,15.0,22.81021897810219,21.532846715328468,44.34306569343066,645.05,118.0,125.0,-1.6999999999999993,8.883333333333333,0.0,7531,1703,89.0,-0.41666666666666785,1.2882969357679066,0
2026-03-11,82.0,1.0,476.0,79.0,1.0,15.0,33.19327731092437,29.41176470588235,62.60504201680672,580.0,140.0,158.0,-1.2666666666666657,8.233333333333333,0.0,7910,1701,85.0,-1.6999999999999993,1.0072357268900825,0
2026-03-12,86.0,0.0,583.0,68.0,1.0,20.0,32.59005145797599,23.670668953687823,56.260720411663804,675.0333333333333,138.0,190.0,-1.3166666666666664,9.85,0.0,5159,1622,82.0,-1.2666666666666657,1.0317191693694694,0
2026-03-13,93.0,0.0,315.0,15.0,0.0,7.5,42.857142857142854,20.634920634920636,63.492063492063494,340.0,65.0,135.0,-0.16666666666666785,5.45,115.0,7988,1727,86.0,-1.3166666666666664,0.9670223757143671,1
2026-03-14,86.0,0.0,478.0,42.0,1.0,15.0,35.14644351464435,19.8744769874477,55.02092050209205,552.5,95.0,168.0,0.7,9.616666666666667,0.0,8542,1766,93.0,-0.16666666666666785,0.8870467021819287,1
2026-03-15,80.0,1.0,548.0,113.0,1.0,17.516666666666666,28.284671532846716,28.284671532846716,56.56934306569343,680.0833333333334,155.0,155.0,-2.866666666666667,8.416666666666666,0.0,7385,1626,86.0,0.7,1.0949136855642834,0
2026-03-16,85.0,0.0,343.0,22.0,0.0,30.0,29.154518950437318,19.825072886297377,48.97959183673469,402.5,68.0,100.0,-1.1666666666666679,5.416666666666667,0.0,7992,1686,80.0,-2.866666666666667,1.1597698640532617,0
2026-03-17,78.0,1.0,478.0,112.0,1.0,17.5,35.56485355648535,37.23849372384937,72.80334728033473,610.0,178.0,170.0,-0.33333333333333215,9.8,0.0,3845,1555,85.0,-1.1666666666666679,1.1306632880302847,0
2026-03-18,83.0,1.0,463.0,67.0,1.0,22.5,32.39740820734341,22.67818574514039,55.0755939524838,557.5,105.0,150.0,0.5666666666666667,9.783333333333333,0.0,8234,1714,78.0,-0.33333333333333215,1.1301835314738926,0
2026-03-19,89.0,0.0,432.0,33.0,0.0,17.5,23.61111111111111,21.296296296296298,44.907407407407405,487.5,92.0,102.0,0.23333333333333334,8.283333333333333,0.0,4531,1570,83.0,0.5666666666666667,1.2424108241981155,0
2026-03-20,81.0,1.0,478.0,78.0,1.0,20.0,28.242677824267783,32.42677824267783,60.66945606694561,592.5333333333333,155.0,135.0,-0.466666666666665,9.116666666666667,0.0,3773,1640,89.0,0.23333333333333334,1.242905794827106,1
2026-03-21,80.0,1.0,447.0,78.0,1.0,25.0,33.557046979865774,29.082774049217,62.639821029082775,555.0333333333333,130.0,150.0,0.5,9.666666666666666,0.0,4711,1631,81.0,-0.466666666666665,1.2373379857602675,1
2026-03-22,82.0,1.0,505.0,61.0,1.0,35.0,11.881188118811881,26.73267326732673,38.613861386138616,612.55,135.0,60.0,-3.133333333333333,6.866666666666667,0.0,3383,1544,80.0,0.5,1.2076037753778608,0
2026-03-23,87.0,0.0,504.0,46.0,1.0,17.5,35.714285714285715,22.22222222222222,57.93650793650794,577.5,112.0,180.0,-0.3999999999999986,9.05,0.0,3019,1616,82.0,-3.133333333333333,1.2955356801001978,0
2026-03-24,82.0,1.0,465.0,70.0,1.0,27.5,21.50537634408602,25.806451612903224,47.31182795698925,567.5,120.0,100.0,-0.3999999999999986,8.966666666666667,0.0,7044,1709,87.0,-0.3999999999999986,1.2660817362883594,0
2026-03-25,85.0,0.0,493.0,72.0,1.0,12.5,32.04868154158215,18.255578093306287,50.30425963488844,582.5,90.0,158.0,-1.0833333333333321,8.55,0.0,6239,1657,82.0,-0.3999999999999986,1.265454725138614,0
2026-03-26,81.0,1.0,486.0,84.0,1.0,17.5,37.03703703703704,26.337448559670783,63.37448559670782,600.0,128.0,180.0,-0.5,9.3,0.0,8620,1754,85.0,-1.0833333333333321,1.197942460039764,0
2026-03-27,82.0,1.0,558.0,77.0,1.0,42.5,31.899641577060933,25.448028673835125,57.34767025089606,680.0,142.0,178.0,0.18333333333333332,11.466666666666667,0.0,2396,1531,81.0,-0.5,1.1353332028446386,1
2026-03-28,86.0,0.0,502.0,63.0,1.0,10.0,25.89641434262948,23.904382470119522,49.800796812749006,582.5,120.0,130.0,1.1333333333333333,10.716666666666667,0.0,2880,1528,82.0,0.18333333333333332,1.1907769461363111,1
2026-03-29,85.0,0.0,426.0,49.0,1.0,17.5,25.821596244131456,23.004694835680752,48.82629107981221,500.0,98.0,110.0,0.6833333333333333,8.883333333333333,0.0,1435,1536,86.0,1.1333333333333333,1.3139916567749041,0
2026-03-30,87.0,0.0,475.0,50.0,1.0,12.5,22.105263157894736,21.473684210526315,43.578947368421055,542.5166666666667,102.0,105.0,-1.283333333333335,7.683333333333334,0.0,4804,1565,85.0,0.6833333333333333,0.7645934701546687,0
